timestamp,instrument,open,high,low,close
2026-01-02T00:00:00Z,EUR/USD,1.0400,1.0460,1.0380,1.0440
2026-01-05T00:00:00Z,EUR/USD,1.0440,1.0500,1.0420,1.0480
2026-01-06T00:00:00Z,EUR/USD,1.0480,1.0520,1.0430,1.0450
2026-01-07T00:00:00Z,EUR/USD,1.0450,1.0470,1.0360,1.0390
2026-01-08T00:00:00Z,EUR/USD,1.0390,1.0440,1.0370,1.0420
2026-01-09T00:00:00Z,EUR/USD,1.0420,1.0490,1.0400,1.0470
2026-01-12T00:00:00Z,EUR/USD,1.0470,1.0530,1.0450,1.0510
2026-01-13T00:00:00Z,EUR/USD,1.0510,1.0540,1.0460,1.0480
2026-01-14T00:00:00Z,EUR/USD,1.0480,1.0500,1.0390,1.0410
2026-01-15T00:00:00Z,EUR/USD,1.0410,1.0450,1.0380,1.0430
2026-01-16T00:00:00Z,EUR/USD,1.0430,1.0500,1.0410,1.0490
2026-01-19T00:00:00Z,EUR/USD,1.0490,1.0550,1.0470,1.0530
